"SITE","SURVEYID","OBS","DATE","TEMP","WINDS_0","WINDD","TRSCT","SECTION","WINDS","COMMENTS","s_dtime","e_dtime","FLAG","UNK","SOPPIP","COMPIP","MYOTI","PIP","DUNNO","PAUR","NOCTU","NOISE","test"
"Annfield","Annfield-2","MG",2014-08-26,8.5,NA,NA,3,300,0,"Turbine(s) spinning",2014-08-26 23:56:29,2014-08-26 23:59:59,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.5
"Annfield","Annfield-2","MG",2014-08-26,8.5,NA,NA,3,200,0,"Turbine(s) spinning",2014-08-26 23:59:59,2014-08-27 00:03:21,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.36666666666667
"Annfield","Annfield-2","MG",2014-08-27,8.5,NA,NA,3,100,0,"Turbine(s) spinning",2014-08-27 00:03:21,2014-08-27 00:05:51,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.5
"Annfield","Annfield-2","MG",2014-08-27,8.5,NA,NA,3,0,0.7,"Turbine(s) spinning",2014-08-27 00:05:51,2014-08-27 00:09:21,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.5
"Annfield","Annfield-2","MG",2014-08-27,8.5,NA,NA,4,0,0.1,"Turbine(s) spinning",2014-08-27 00:34:51,2014-08-27 00:37:36,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.75
"Annfield","Annfield-2","MG",2014-08-27,8.5,NA,NA,4,100,0,"Turbine(s) spinning",2014-08-27 00:37:36,2014-08-27 00:40:47,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.18333333333333
"Annfield","Annfield-2","MG",2014-08-27,8.5,NA,NA,4,200,0,"Turbine(s) spinning",2014-08-27 00:40:47,2014-08-27 00:43:13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.43333333333333
"Annfield","Annfield-2","MG",2014-08-27,8.5,NA,NA,4,300,0,"Turbine(s) spinning",2014-08-27 00:43:13,2014-08-27 00:45:35,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.36666666666667
"Annfield","Annfield-2","MG",2014-08-27,8.5,NA,NA,4,400,0,"Turbine(s) spinning",2014-08-27 00:45:35,2014-08-27 00:47:55,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.33333333333333
"Annfield","Annfield-2","MG",2014-08-27,8.5,NA,NA,4,500,0,"Turbine(s) spinning",2014-08-27 00:47:55,2014-08-27 00:50:18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.38333333333333
"Annfield","Annfield-2","MG",2014-08-27,8.5,NA,NA,4,600,0,"Turbine(s) spinning",2014-08-27 00:50:18,2014-08-27 00:53:12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.9
"Annfield","Annfield-2","MG",2014-08-27,8.5,NA,NA,4,700,0,"Turbine(s) spinning",2014-08-27 00:53:12,2014-08-27 00:56:23,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.18333333333333
"Barn Owl Lodge","Barn Owl Lodge-1","MG",2014-08-04,13,NA,NA,1,0,0.3,"Turbine(s) spinning",2014-08-04 22:27:23,2014-08-04 22:30:19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.93333333333333
"Barn Owl Lodge","Barn Owl Lodge-1","MG",2014-08-04,13,NA,NA,1,100,0.2,"Turbine(s) spinning",2014-08-04 22:30:19,2014-08-04 22:32:57,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.63333333333333
"Barn Owl Lodge","Barn Owl Lodge-1","MG",2014-08-04,13,NA,NA,1,200,0.1,"Turbine(s) spinning",2014-08-04 22:32:57,2014-08-04 22:36:17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.33333333333333
"Barn Owl Lodge","Barn Owl Lodge-1","MG",2014-08-04,13,NA,NA,1,300,0.9,"Turbine(s) spinning",2014-08-04 22:36:17,2014-08-04 22:40:26,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.15
"Barn Owl Lodge","Barn Owl Lodge-1","MG",2014-08-04,13,NA,NA,1,400,0,"Turbine(s) spinning",2014-08-04 22:40:26,2014-08-04 22:43:55,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.48333333333333
