"SITE","SURVEYID","OBS","DATE","TEMP","WINDS_0","WINDD","TRSCT","SECTION","WINDS","COMMENTS","s_dtime","e_dtime","FLAG","UNK","SOPPIP","COMPIP","MYOTI","PIP","DUNNO","PAUR","NOCTU","NOISE"
"Barn Owl Lodge","Barn Owl Lodge-1","MG",2014-08-04,13,NA,NA,4,500,1.2,"Turbine(s) spinning",2014-08-04 23:08:09,2014-08-04 23:10:51,0,0,0,2,0,0,0,0,0,0
"Barn Owl Lodge","Barn Owl Lodge-1","MG",2014-08-04,13,NA,NA,4,600,0.1,"Turbine(s) spinning",2014-08-04 23:10:51,2014-08-04 23:14:03,0,0,0,0,0,0,0,0,0,0
"Barn Owl Lodge","Barn Owl Lodge-2","MG",2014-08-27,10,NA,NA,1,0,0,"Turbine(s) not spinning",2014-08-27 20:53:16,2014-08-27 20:56:17,0,0,0,1,0,0,0,0,0,0
"Barn Owl Lodge","Barn Owl Lodge-2","MG",2014-08-27,10,NA,NA,1,100,1.1,"Turbine(s) not spinning",2014-08-27 20:56:17,2014-08-27 20:59:42,0,0,0,0,0,0,0,0,1,0
"Barn Owl Lodge","Barn Owl Lodge-2","MG",2014-08-27,10,NA,NA,1,200,0,"Turbine(s) not spinning",2014-08-27 20:59:42,2014-08-27 21:03:42,0,0,0,0,0,0,0,0,1,0
"Barn Owl Lodge","Barn Owl Lodge-2","MG",2014-08-27,10,NA,NA,1,300,0,"Turbine(s) not spinning",2014-08-27 21:03:42,2014-08-27 21:08:29,0,0,0,1,0,1,0,0,0,0
"Barn Owl Lodge","Barn Owl Lodge-2","MG",2014-08-27,10,NA,NA,1,400,0,"Turbine(s) not spinning",2014-08-27 21:08:29,2014-08-27 21:12:43,0,0,1,2,0,0,0,0,0,0
"Barn Owl Lodge","Barn Owl Lodge-2","MG",2014-08-27,10,NA,NA,1,500,0,"Turbine(s) not spinning",2014-08-27 21:12:43,2014-08-27 21:16:12,0,0,0,0,0,0,0,0,0,0
"Barn Owl Lodge","Barn Owl Lodge-2","MG",2014-08-27,10,NA,NA,1,600,0,"Turbine(s) not spinning",2014-08-27 21:16:12,2014-08-27 21:20:59,0,0,0,0,0,0,0,0,0,0
"Barn Owl Lodge","Barn Owl Lodge-2","MG",2014-08-27,10,NA,NA,2,0,0,"Turbine(s) not spinning",2014-08-27 21:33:35,2014-08-27 21:36:42,0,0,0,1,0,0,0,0,0,0
