"SITE","SURVEYID","OBS","DATE","TEMP","WINDS_0","WINDD","TRSCT","SECTION","WINDS","COMMENTS","s_dtime","e_dtime","FLAG","UNK","SOPPIP","COMPIP","MYOTI","PIP","DUNNO","PAUR","NOCTU","NOISE","fSECTION","DAYNO","TTMIDN","NOTURB","PASSES","ALL_PIPS","ALL_OTHER","pBUILD","pTREE","pRDTRK","pROADS","pRGRAS","EDGED","D_LIN","D_BUI","D_WAT","D_TRE","PC1a","PC2a","PC3a","PC4a","AREA_M2","AREA_ha","MID_X","MID_Y","sWINDS","min_air_temp"
"Castlemains","Castlemains-1","JM",2013-05-28,"13.8","0","unk","S",1,1.2,NA,2013-05-28 22:15:00,2013-05-28 22:33:00,0,0,0,0,0,0,0,0,0,0,"1",147,-105,3,0,0,0,0,0,0,0,0,0.0223646495293085,24.0148582568008,155.777020962396,23.8188727945133,458.729221483118,-1.23879643364482,0.804913085170194,-0.388686826515851,0.701100171650088,13599.14,1.359914,351848.383193771,683477.080491501,0.406214611457065,8.7
"Castlemains","Castlemains-1","JM",2013-05-28,"13.8","0","unk","S",1,1.2,NA,2013-05-28 22:15:00,2013-05-28 22:33:00,0,0,0,0,0,0,0,0,0,0,"1",147,-105,3,0,0,0,0,0,0,0,0,0.0223646495293085,24.0148582568008,155.777020962396,23.8188727945133,458.729221483118,-1.23879643364482,0.804913085170194,-0.388686826515851,0.701100171650088,13599.14,1.359914,351848.383193771,683477.080491501,-0.747531030551167,8.7
"Castlemains","Castlemains-1","JM",2013-05-28,"13.8","0","unk","S",2,0,NA,2013-05-28 22:15:00,2013-05-28 22:33:00,0,0,0,0,0,0,0,0,0,0,"2",147,-105,3,0,0,0,0,0,0,0,0,0.0198291029114544,26.0897235031412,274.075555931753,25.7393539134419,574.543683196861,-1.81858632305861,1.21494667367039,0.107156633183262,1.05659349014891,10316.15,1.031615,351922.683133759,683383.830707831,-0.747531030551167,8.7
"Castlemains","Castlemains-1","JM",2013-05-28,"13.8","0","unk","S",2,0,NA,2013-05-28 22:15:00,2013-05-28 22:33:00,0,0,0,0,0,0,0,0,0,0,"2",147,-105,3,0,0,0,0,0,0,0,0,0.0198291029114544,26.0897235031412,274.075555931753,25.7393539134419,574.543683196861,-1.81858632305861,1.21494667367039,0.107156633183262,1.05659349014891,10316.15,1.031615,351922.683133759,683383.830707831,-0.747531030551167,8.7
"Castlemains","Castlemains-1","JM",2013-05-28,"13.8","0","unk","S",3,0,NA,2013-05-28 22:15:00,2013-05-28 22:33:00,0,0,0,0,0,0,0,0,0,0,"3",147,-105,3,0,0,0,0,0,0,0,0,0.0190964239057867,26.3273290068544,373.863709768149,25.8082363889936,592.448273641956,-2.114581671034,1.21101577531841,0.479015182810095,1.22851794078724,10395.14,1.039514,351967.513249151,683292.046712098,-0.747531030551167,8.7
"Castlemains","Castlemains-1","JM",2013-05-28,"13.8","0","unk","S",3,0,NA,2013-05-28 22:15:00,2013-05-28 22:33:00,0,0,0,0,0,0,0,0,0,0,"3",147,-105,3,0,0,0,0,0,0,0,0,0.0190964239057867,26.3273290068544,373.863709768149,25.8082363889936,592.448273641956,-2.114581671034,1.21101577531841,0.479015182810095,1.22851794078724,10395.14,1.039514,351967.513249151,683292.046712098,-0.459094620049109,8.7
"Castlemains","Castlemains-1","JM",2013-05-28,"13.8","0","unk","S",4,1.3,NA,2013-05-28 22:15:00,2013-05-28 22:33:00,0,0,0,0,0,0,0,0,0,0,"4",147,-105,3,0,0,0,0,0,0,0,0,0.0199248345163091,26.348555713981,474.814761008991,25.861336856079,498.277806760735,-2.18963264294316,0.732942459162269,0.791842541605249,1.2058336684828,10031.2,1.00312,352019.6632939,683204.821281315,0.502360081624418,8.7
"Castlemains","Castlemains-1","JM",2013-05-28,"13.8","0","unk","S",4,1.3,NA,2013-05-28 22:15:00,2013-05-28 22:33:00,0,0,0,0,0,0,0,0,0,0,"4",147,-105,3,0,0,0,0,0,0,0,0,0.0199248345163091,26.348555713981,474.814761008991,25.861336856079,498.277806760735,-2.18963264294316,0.732942459162269,0.791842541605249,1.2058336684828,10031.2,1.00312,352019.6632939,683204.821281315,-0.651385560383815,8.7
"Castlemains","Castlemains-1","JM",2013-05-28,"13.8","0","unk","S",5,0,NA,2013-05-28 22:15:00,2013-05-28 22:33:00,0,0,0,0,0,0,0,0,0,0,"5",147,-105,3,0,0,0,0,0,0,0,0,0.0199577975219775,26.4571918385447,574.719611688952,25.8548693353663,406.565184413887,-2.28410464748377,0.265991086272735,1.10375232321836,1.18079966226498,10013.63,1.001363,352074.411565968,683120.869155829,-0.747531030551167,8.7
"Castlemains","Castlemains-1","JM",2013-05-28,"13.8","0","unk","S",5,0,NA,2013-05-28 22:15:00,2013-05-28 22:33:00,0,0,0,0,0,0,0,0,0,0,"5",147,-105,3,0,0,0,0,0,0,0,0,0.0199577975219775,26.4571918385447,574.719611688952,25.8548693353663,406.565184413887,-2.28410464748377,0.265991086272735,1.10375232321836,1.18079966226498,10013.63,1.001363,352074.411565968,683120.869155829,-0.747531030551167,8.7
