ob_end_time, id_type, id, ob_hour_count, version_num, met_domain_name, src_id, rec_st_ind, max_air_temp, min_air_temp, min_grss_temp, min_conc_temp, max_air_temp_q, min_air_temp_q, min_grss_temp_q, min_conc_temp_q, meto_stmp_time, midas_stmp_etime, max_air_temp_j, min_air_temp_j, min_grss_temp_j, min_conc_temp_j
08/02/2014 09:00, DCNN,6297,24,1, DLY3208,963,1011,8.5,0, , ,6,6, , , 2014-02-10 09:39,0, , , ,
09/02/2014 09:00, DCNN,6297,24,1, DLY3208,963,1011,8,5, , ,1,1, , , 2014-02-10 09:40,0, , , ,
09/02/2014 09:00, DCNN,6297,24,1, DLY3208,963,1011,8,5, , ,6,6, , , 2014-02-10 09:40,0, , , ,
10/02/2014 09:00, DCNN,6297,24,1, DLY3208,963,1011,8.1,4.2, , ,1,1, , , 2014-02-10 09:41,0, , , ,
10/02/2014 09:00, DCNN,6297,24,1, DLY3208,963,1011,8.1,4.2, , ,6,6, , , 2014-02-10 09:41,0, , , ,
11/02/2014 09:00, DCNN,6297,24,1, DLY3208,963,1011,8.4,2.2, , ,1,1, , , 2014-02-11 09:32,0, , , ,
11/02/2014 09:00, DCNN,6297,24,1, DLY3208,963,1011,8.4,2.2, , ,6,6, , , 2014-02-11 09:32,0, , , ,
12/02/2014 09:00, DCNN,6297,24,1, DLY3208,963,1011,6.8,0.7, , ,1,1, , , 2014-02-12 09:24,0, , , ,
12/02/2014 09:00, DCNN,6297,24,1, DLY3208,963,1011,6.8,0.7, , ,6,6, , , 2014-02-12 09:24,0, , , ,
13/02/2014 09:00, DCNN,6297,24,1, DLY3208,963,1011,5.3,2.3, , ,1,1, , , 2014-02-13 15:38,0, , , ,
13/02/2014 09:00, DCNN,6297,24,1, DLY3208,963,1011,5.3,2.3, , ,6,6, , , 2014-02-13 15:38,0, , , ,
14/02/2014 09:00, DCNN,6297,24,1, DLY3208,963,1011,6.4,1.8, , ,1,1, , , 2014-02-14 11:42,0, , , ,
14/02/2014 09:00, DCNN,6297,24,1, DLY3208,963,1011,6.4,1.8, , ,6,6, , , 2014-02-14 11:42,0, , , ,
15/02/2014 09:00, DCNN,6297,24,1, DLY3208,963,1011,6.4,2, , ,1,1, , , 2014-02-17 09:42,0, , , ,
15/02/2014 09:00, DCNN,6297,24,1, DLY3208,963,1011,6.4,2, , ,6,6, , , 2014-02-17 09:42,0, , , ,
16/02/2014 09:00, DCNN,6297,24,1, DLY3208,963,1011,8.5,2, , ,1,1, , , 2014-02-17 09:43,0, , , ,
16/02/2014 09:00, DCNN,6297,24,1, DLY3208,963,1011,8.5,2, , ,6,6, , , 2014-02-17 09:43,0, , , ,
17/02/2014 09:00, DCNN,6297,24,1, DLY3208,963,1011,8.8,2.2, , ,1,1, , , 2014-02-17 09:44,0, , , ,
17/02/2014 09:00, DCNN,6297,24,1, DLY3208,963,1011,8.8,2.2, , ,6,6, , , 2014-02-17 09:44,0, , , ,
18/02/2014 09:00, DCNN,6297,24,1, DLY3208,963,1011,7.2,4.5, , ,1,1, , , 2014-02-18 13:44,0, , , ,
18/02/2014 09:00, DCNN,6297,24,1, DLY3208,963,1011,7.2,4.5, , ,6,6, , , 2014-02-18 13:44,0, , , ,
19/02/2014 09:00, DCNN,6297,24,1, DLY3208,963,1011,9.2,5.7, , ,1,1, , , 2014-02-19 09:17,0, , , ,
19/02/2014 09:00, DCNN,6297,24,1, DLY3208,963,1011,9.2,5.7, , ,6,6, , , 2014-02-19 09:17,0, , , ,
20/02/2014 09:00, DCNN,6297,24,1, DLY3208,963,1011,11.7,5.8, , ,1,1, , , 2014-02-20 10:25,0, , , ,
20/02/2014 09:00, DCNN,6297,24,1, DLY3208,963,1011,11.7,5.8, , ,6,6, , , 2014-02-20 10:25,0, , , ,
21/02/2014 09:00, DCNN,6297,24,1, DLY3208,963,1011,11.4,3.2, , ,1,1, , , 2014-02-24 15:52,0, , , ,
21/02/2014 09:00, DCNN,6297,24,1, DLY3208,963,1011,11.4,3.2, , ,6,6, , , 2014-02-24 15:52,0, , , ,
22/02/2014 09:00, DCNN,6297,24,1, DLY3208,963,1011,8.7,5, , ,1,1, , , 2014-02-24 15:53,0, , , ,
22/02/2014 09:00, DCNN,6297,24,1, DLY3208,963,1011,8.7,5, , ,6,6, , , 2014-02-24 15:53,0, , , ,
23/02/2014 09:00, DCNN,6297,24,1, DLY3208,963,1011,11.2,6.8, , ,1,1, , , 2014-02-24 15:54,0, , , ,
23/02/2014 09:00, DCNN,6297,24,1, DLY3208,963,1011,11.2,6.8, , ,6,6, , , 2014-02-24 15:54,0, , , ,
24/02/2014 09:00, DCNN,6297,24,1, DLY3208,963,1011,11.2,4.8, , ,1,1, , , 2014-02-24 15:55,0, , , ,
24/02/2014 09:00, DCNN,6297,24,1, DLY3208,963,1011,11.2,4.8, , ,6,6, , , 2014-02-24 15:55,0, , , ,
25/02/2014 09:00, DCNN,6297,24,1, DLY3208,963,1011,9.5,5, , ,1,1, , , 2014-02-25 10:59,0, , , ,
25/02/2014 09:00, DCNN,6297,24,1, DLY3208,963,1011,9.5,5, , ,6,6, , , 2014-02-25 10:59,0, , , ,
26/02/2014 09:00, DCNN,6297,24,1, DLY3208,963,1011,10.5,5, , ,1,1, , , 2014-02-26 10:55,0, , , ,
26/02/2014 09:00, DCNN,6297,24,1, DLY3208,963,1011,10.5,5, , ,6,6, , , 2014-02-26 10:55,0, , , ,
27/02/2014 09:00, DCNN,6297,24,1, DLY3208,963,1011,11,4.8, , ,1,1, , , 2014-02-27 12:33,0, , , ,
27/02/2014 09:00, DCNN,6297,24,1, DLY3208,963,1011,11,4.8, , ,6,6, , , 2014-02-27 12:33,0, , , ,
28/02/2014 09:00, DCNN,6297,24,1, DLY3208,963,1011,9,2, , ,1,1, , , 2014-02-28 15:13,0, , , ,
28/02/2014 09:00, DCNN,6297,24,1, DLY3208,963,1011,9,2, , ,6,6, , , 2014-02-28 15:13,0, , , ,
01/03/2014 09:00, DCNN,6297,24,1, DLY3208,963,1011,10,3, , ,1,1, , , 2014-03-03 09:59,0, , , ,
