"SITE","TRANSECT","SECTION","MID_X","MID_Y","AREA_M2","BUILD","CTREE","GREYS","LANDF","NTREE","RDTRK","ROADS","RGRAS","SCRUB","WATER","LLENG","D_LIN","D_BUI","D_WAT","D_TRE"
"Arnbog Meigle","E",2,331753.242957036,745998.769704067,12846.86,0,0,11042.45,0,0,994.46,809.95,0,0,0,539.05,20.563105570704,230.421198987977,308.680489703222,430.770383416354
"Arnbog Meigle","E",3,331862.385532072,746046.46014746,10789.51,0,0,9378.57,0,0,803.61,607.33,0,0,0,426.68,21.2908296474222,142.768713006482,232.434437766058,493.455079160916
"Arnbog Meigle","E",4,331958.250143948,746085.16530341,10245.65,0,0,8897.26,0,0,708.75,639.65,0,0,0,462.14,14.8568332696161,94.5708612186903,203.832846424128,566.04786492273
"Arnbog Meigle","E",5,332053.05992945,746121.893577041,10091.9,228.5,0,7739.07,0,0,1467.75,656.57,0,0,0,769.39,12.0913307340622,38.2516081751692,223.752528565532,646.470271907265
"Arnbog Meigle","N",1,331609.997825163,746040.711152185,14527.05,0,0,14527.04,0,0,0,0,0,0,0,151.23,25.8119674887744,307.93799500262,323.863926170897,297.901019332111
"Arnbog Meigle","N",2,331539.567849004,746140.337602081,10279.24,0,0,10279.24,0,0,0,0,0,0,0,141.24,24.782477000438,314.594505053203,216.365759650918,176.557105013666
"Arnbog Meigle","N",3,331477.091705831,746220.871495915,10082.8,0,0,10082.79,0,0,0,0,0,0,0,99.93,26.6340561165963,332.292907154921,123.416674734262,77.9711558012637
"Arnbog Meigle","N",4,331415.690008084,746300.580928549,10037.6,0,0,7116.88,0,0,0,0,1011.19,1909.53,0,311.53,15.3038826562193,331.418873970463,48.5229066001314,20.2006723405921
"Arnbog Meigle","N",5,331354.537639526,746380.089963361,10022.96,0,0,6037.76,0,0,0,0,832.01,3153.2,0,199.89,23.7976221613893,331.728013260507,56.9491916557545,18.2902000442128
"Arnbog Meigle","S",1,331634.554451396,745994.669173203,13515.58,0,0,12261.44,0,0,706.07,548.07,0,0,0,465.87,18.3293693487864,316.931871171621,360.217055542868,349.22378212484
"Arnbog Meigle","S",2,331713.532776951,745905.702380314,10258.39,0,0,9967.53,0,0,159.27,131.59,0,0,0,183.7,22.0748263652775,333.276401018791,381.822365154903,468.400220560677
"Arnbog Meigle","S",3,331787.512474008,745835.795995334,10081.03,0,0,10081.04,0,0,0,0,0,0,0,100.14,26.3873882092339,370.808596093845,306.449019314778,557.367151019596
"Arnbog Meigle","S",4,331860.504620971,745766.564161973,10036.69,0,0,10036.69,0,0,0,0,0,0,0,99.97,26.3331293563989,399.321073207027,216.443599564627,569.253242051465
"Arnbog Meigle","S",5,331933.227028147,745697.489747659,10022.46,0,0,10022.45,0,0,0,0,0,0,0,99.93,26.298697777029,383.893399775045,127.101412805797,569.478599922528
"Arnbog Meigle","W",1,331623.102760179,745984.284987697,16635.22,0,0,15034.38,0,0,911.7,689.14,0,0,0,554.49,21.3529341146283,331.075786797225,363.924944819672,352.023138263807
"Arnbog Meigle","W",2,331538.518382702,745905.905597536,12536.24,0,0,10660,0,0,1052.46,823.78,0,0,0,541.84,22.3844294879564,336.500167466497,385.894441641511,386.718526087015
"Arnbog Meigle","W",3,331430.725374422,745852.372395927,10632.4,0,0,9214.92,0,0,762.15,655.34,0,0,0,524.41,14.641790677756,227.304881431656,380.816167161917,403.106118245373
"Arnbog Meigle","W",4,331341.850247775,745802.451585258,10329.54,0,0,8961.58,0,0,738.52,629.44,0,0,0,412.99,19.8788471416018,125.925331681303,347.523286449158,397.271781735391
"Arnbog Meigle","W",5,331248.058794688,745760.671572557,10188.22,775.09,0,8065.75,0,0,776.29,558.69,0,0,0,621.95,16.612827489328,37.829997987497,320.201557785883,382.303777829986
"Auld Dalbrack","E",1,274775.825187934,705337.551525018,14453.96,251.25,0,12094.51,0,0,963.29,742.28,24.29,0,378.35,814.25,14.5722024586787,32.3935816021263,50.4315561865061,139.008936667355
"Auld Dalbrack","E",2,274888.011434076,705348.852871103,11616.71,0,449.44,7005.89,0,457.65,551.73,2267.63,414.67,0,469.7,919.36,9.7832887269307,97.7011996991427,22.901649766432,42.8485356236199
"Auld Dalbrack","E",3,274992.039859011,705380.521015372,10132.43,0,5728.29,0.37,0,0,590.05,1709.82,2103.9,0,0,527.82,10.4709911325536,201.748775669235,31.866842071851,5.2084515167648
"Auld Dalbrack","E",4,275089.805294875,705412.050137139,11055.59,0,8814.53,1271.96,0,0,236.47,419.86,312.76,0,0,418.24,13.3214464670863,301.461820828536,78.8157196220403,1.14583304601783
"Auld Dalbrack","E",5,275176.880607029,705471.615405134,10320.37,0,9482.04,838.33,0,0,0,0,0,0,0,205.18,20.3416696248806,395.562588140277,139.507148922951,0.186302599408428
"Auld Dalbrack","N",1,274741.605353006,705378.547505786,13378.3,60.59,0,13317.72,0,0,0,0,0,0,0,224.7,20.6092362225913,57.5682355512994,91.3190482344344,179.018684240376
"Auld Dalbrack","N",2,274694.047454758,705487.44422468,10661.06,0,0,10386.37,0,0,0,0,274.7,0,0,249.88,18.9390428505946,141.997869173277,125.936863376084,262.437236520056
"Auld Dalbrack","N",3,274677.450339233,705585.716105277,10513.7,0,0,4827.05,0,0,0,0,5686.65,0,0,137.83,16.8464914371109,206.432175786165,109.020958819474,284.09113781264
"Auld Dalbrack","N",4,274663.434208291,705687.632140372,10070.03,0,0,518.62,0,0,0,0,9551.42,0,0,75.87,30.9974947873249,273.171628089014,138.415947666864,296.93512957111
"Auld Dalbrack","N",5,274648.381215347,705787.055094277,10038.66,0,0,0,0,0,0,0,10038.66,0,0,0,101.129620548374,339.93483811612,179.761885806071,232.223924446442
"Auld Dalbrack","S",1,274753.689213488,705319.69730456,14747.61,376.55,0,11875.07,0,0,1419.99,440.9,171.81,0,463.3,932.87,12.0778037584246,27.6277191399043,45.0530457472589,161.552950555729
"Auld Dalbrack","S",2,274734.111674616,705215.016734201,13919.93,0,0,11059.24,0,0,822.17,0,1678.14,0,360.38,398.55,20.6250440581628,46.8926914889783,40.5138447969223,144.804835983387
"Auld Dalbrack","S",3,274659.343045403,705116.689099667,10184.09,0,0,10184.08,0,0,0,0,0,0,0,113.1,26.3142957875407,119.486499288495,138.75344540667,71.2110995172515
"Auld Dalbrack","S",4,274610.034698656,705028.070400481,10085.93,0,1258.59,8827.34,0,0,0,0,0,0,0,112.33,31.4515870494202,195.187025633065,123.303390752844,34.0079308574182
"Auld Dalbrack","S",5,274561.221595144,704940.014189842,10046.65,0,4041.74,4480.31,0,865.43,653.8,5.37,0,0,0,297.35,13.5098377546975,257.594495146551,67.1807408468245,9.29029375769549
"Auld Dalbrack","W",1,274741.641291258,705313.023978363,14262.4,376.55,0,11056.54,0,0,1333.11,264.78,642.22,0,589.22,917.47,12.8984509477211,28.4428326018912,39.1168228867829,172.445942913726
"Auld Dalbrack","W",2,274631.179529505,705267.96534275,17889.83,0,0,3173.8,0,0,2517.22,121.93,11603.68,0,473.2,956.16,12.8452154996075,103.244623856113,45.1564896609925,186.944507315326
"Auld Dalbrack","W",3,274523.951729056,705333.387649849,18965.97,0,0,13756.11,0,0,1333.82,255.2,3153.92,0,466.92,780.03,15.5149541123487,205.290472327013,67.1933260291212,215.084847628762
"Auld Dalbrack","W",4,274414.920724338,705456.416716815,10325.83,0,0,9743.84,0,0,526.54,0,55.45,0,0,232.67,20.3193406207772,222.06899110223,82.8388854037627,234.360312119946
"Auld Dalbrack","W",5,274326.015964271,705507.186697729,10137.69,0,0,6177.38,0,0,509.14,0,3451.16,0,0,361.73,12.0675298847312,206.519829032081,176.155606962043,166.175312652816
"Baldinnies","N",1,302217.749010602,716434.722055711,13324.55,0,0,13182.63,1542.69,0,141.92,0,0,0,0,543.84,12.7831105465102,266.510280130341,135.389952205886,232.714136535489
"Baldinnies","N",2,302322.116236672,716494.513193569,14059.72,0,0,10565.84,301.11,0,685.43,0,2278.28,0,530.16,947.57,15.0985074272507,164.320166756416,38.4915961327665,164.611319930381
"Baldinnies","N",3,302364.228173159,716596.081809009,11357.94,35.78,0,7551.76,0,0,290.52,0,2948.45,0,531.43,652.94,13.3895210808096,61.5065304582251,24.6660169787908,98.6026698304898
"Baldinnies","N",4,302384.974635614,716709.414593172,12068.26,835.16,0,7785.39,0,0,997.05,110.54,1700.11,0,640,1261.22,7.50647707288969,28.3427508657072,24.1180524636078,84.9002662380514
"Baldinnies","N",5,302392.594604899,716801.567104427,6308.63,27.6,0,5672.07,0,0,175.34,0,0,0,433.62,538.76,8.04401597903626,32.5957877476077,19.6847413106907,92.4928989184062
"Baldinnies","S",1,302215.206584307,716403.953793087,14586.54,0,0,14321.31,1888.01,0,265.23,0,0,0,0,618.23,14.0483122317605,293.912295302563,132.593931363506,213.504971550825
"Baldinnies","S",2,302245.147625874,716296.224366943,13387.98,0,0,13335.81,3144.84,0,52.17,0,0,0,0,475.6,16.2838239570787,351.588776224227,93.2626548818936,129.543094383132
"Baldinnies","S",3,302230.402201599,716176.855555193,10518.88,0,0,10377.28,1637.71,0,0,0,141.59,0,0,279.79,16.6179622747438,332.885454256352,102.696983092649,110.513719638947
"Baldinnies","S",4,302227.096348002,716074.970968444,10441.7,0,0,10441.7,1693.15,0,0,0,0,0,0,209.11,18.1359791733482,260.687903003311,102.328308835379,110.418305683553
"Baldinnies","S",5,302242.435722327,715983.446613778,9207.05,0,0,8919.94,1233.67,0,0,0,287.11,0,0,378.69,9.64822714819088,193.419638782344,86.429350819235,93.6642562695051
"Baldinnies","W",1,302163.397286238,716416.690262109,13271.52,0,0,13271.52,1133.31,0,0,0,0,0,0,317.04,18.0746527215007,309.956835170658,184.341878740739,256.301328027029
"Baldinnies","W",2,302052.462018811,716376.982522451,10227.22,0,0,10227.22,0,0,0,0,0,0,0,100.03,29.4414324016424,409.118782004021,283.277531179635,324.014170454271
"Baldinnies","W",3,301957.099779373,716342.123266575,10067.86,0,0,10067.86,0,0,0,0,0,0,0,99.93,29.4753590469193,470.927140662247,304.612315046086,305.823784580528
"Baldinnies","W",4,301861.475626918,716310.998815343,10090.35,0,0,10090.34,0,0,0,0,0,0,0,100.87,29.8074197144486,437.09752798501,251.379138349269,207.745379155038
"Baldinnies","W",5,301761.986866973,716289.616428541,10410.29,0,0,10410.29,0,0,0,0,0,0,0,101.2,27.956858949539,403.59959390279,153.871199306082,110.212538653582
"Barn Owl Lodge","N",1,364628.829912328,636421.055595128,15696.08,40.12,0,15148.56,0,231.25,105.61,170.55,0,0,0,470.81,16.51145553,60.50814893,148.735895,75.35768841
"Barn Owl Lodge","N",2,364649.689251086,636528.097824941,15462.49,0,0,11910.42,0,815.48,1515.97,1220.62,0,0,0,876.19,15.84986374,133.5237521,256.4837578,78.19672717
"Barn Owl Lodge","N",3,364579.419033139,636642.843705406,10403.51,0,0,8846.31,0,121.15,666.36,769.7,0,0,0,472.55,16.32155099,265.7333128,274.9657926,50.35529211
"Barn Owl Lodge","N",4,364527.116749593,636733.949989977,10860.05,0,0,9042.61,0,213.03,697.44,906.98,0,0,0,536.76,15.38580313,370.6002849,174.331282,44.45343022
"Barn Owl Lodge","N",5,364463.873659091,636819.58210014,10385.97,0,0,8943.47,0,0,592.07,850.43,0,0,0,414.16,17.81244804,476.2829699,68.5567265,131.5160544
"Barn Owl Lodge","NE",1,364629.139681214,636418.878331938,15240.49,40.12,0,14692.97,0,231.25,105.61,170.55,0,0,0,471.24,16.0188535,58.69449227,146.6887621,75.29937935
"Barn Owl Lodge","NE",2,364738.159527594,636478.59745879,10970.94,0,0,6829.6,40.5,1830.76,1547.27,763.3,0,0,0,798.88,12.87157506,57.19154856,218.363928,31.03454923
"Barn Owl Lodge","NE",3,364823.624057438,636534.758240061,10303.82,0,0,9242.05,0,0,1037.93,0,0,0,0,326.24,18.96529103,49.83096172,156.340367,90.81038477
"Barn Owl Lodge","NE",4,364915.51647962,636577.735215204,10083.46,0,0,7825.34,0,1038.03,1220.1,0,0,0,0,387.6,16.97277127,62.9850565,58.57676705,39.90611529
"Barn Owl Lodge","NE",5,365001.492244939,636628.523896723,9897.8,0,0,5934.53,0,2736.4,1226.89,0,0,0,0,345.82,17.37192275,88.45408094,22.47142945,25.98008485
"Barn Owl Lodge","SE",1,364635.940948359,636376.977472103,13934.4,230.22,0,13543.84,0,0,20.73,139.6,0,0,0,514.09,12.45482425,37.72891985,105.6281717,89.72494105
"Barn Owl Lodge","SE",2,364697.08533712,636276.447699668,10470.87,199.84,0,5467.53,0,0,917.43,608.82,3274.29,0,2.95,804.91,7.745329989,41.57023957,63.95846424,103.9810427
"Barn Owl Lodge","SE",3,364749.182536698,636187.975880638,10080.85,0,0,9090.33,0,0,306.83,683.7,0,0,0,566.91,14.08081339,109.8453056,130.1622891,98.88647471
"Barn Owl Lodge","SE",4,364781.562636723,636084.122966165,14268.77,0,0,10996.35,0,2073.58,454.76,744.08,0,0,0,724.33,14.31501679,178.1480857,199.8430244,22.4675603
"Barn Owl Lodge","SE",5,364717.840569121,635972.379336796,17847.31,0,0,15459.56,0,758.18,583.68,1045.89,0,0,0,918.18,13.08549191,293.0640856,232.3754718,41.16076061
"Barn Owl Lodge","SW",1,364590.322256697,636396.564838436,14604.67,40.12,0,14564.55,0,0,0,0,0,0,0,295.34,19.62563376,73.89260191,128.467417,118.0748511
"Barn Owl Lodge","SW",2,364480.299082162,636345.785755596,10339.36,0,0,10339.36,0,0,0,0,0,0,0,159.95,20.573727,152.1760358,134.4259668,237.7435198
"Barn Owl Lodge","SW",3,364391.073609913,636295.561084258,10101.62,0,0,10101.62,0,0,0,0,0,0,0,140.98,21.36837062,101.6694113,194.0874205,339.6163817
"Barn Owl Lodge","SW",4,364303.252886133,636246.126344895,10049.37,0,0,10049.37,0,0,0,0,0,0,0,206.88,15.39725139,65.42397438,276.5197868,436.9145576
"Barn Owl Lodge","SW",5,364213.872951409,636200.641863626,10092.69,166.4,0,9926.3,0,0,0,0,0,0,0,274.81,19.21104594,40.31344678,323.6143493,519.7388902
"Bogbank","E",1,384992.370788935,666110.607268676,15946.74,0,0,15792.29,0,0,154.44,0,0,0,0,430.61,18.5384857350605,190.835336931012,41.6101574235184,220.311462010234
"Bogbank","E",2,385108.423968295,666143.977949891,13521.83,0,0,13521.83,0,0,0,0,0,0,0,172.24,28.7875687237011,147.405510631488,117.266321575736,108.764944837332
"Bogbank","E",3,385213.516137115,666147.282243296,13218.15,0,794.53,12423.61,0,0,0,0,0,0,0,197.26,27.4953040057133,153.037638125914,146.259037865436,56.4689561107952
"Bogbank","E",4,385308.736754587,666078.828481215,13044.66,0,0,12806.2,0,0,238.45,0,0,0,0,370.8,16.9387116570979,160.457841720107,153.966869738144,141.60964735801
"Bogbank","E",5,385402.35524389,666006.628621496,11471.85,0,0,11287.19,0,0,184.65,0,0,0,0,323.2,16.5189581228339,220.349575331236,123.266852103605,102.844791306113
"Bogbank","NW",1,384938.130625048,666113.639174617,15401.7,0,0,15357.74,0,0,43.96,0,0,0,0,311.18,22.5397583433201,215.537569412184,37.101536647569,267.449920356989
"Bogbank","NW",2,384826.373418733,666102.00571537,15903.44,0,0,15903.44,0,0,0,0,0,0,0,300.06,20.0553274532407,272.140956956826,68.8463621404719,339.690647407832
"Bogbank","NW",3,384742.243333964,666213.21455261,11647.31,0,0,11647.32,0,0,0,0,0,0,0,163.37,21.6659508624254,184.759658081002,200.943847064737,268.703846700898
"Bogbank","NW",4,384676.33432808,666304.728343466,10685.32,0,0,10685.31,0,0,0,0,0,0,0,133.82,22.5733529751811,78.4913585231747,263.979652129041,239.74853390265
"Bogbank","NW",5,384582.964440453,666351.335379499,13304.23,53.58,0,10093.11,0,0,565.41,870.86,0,1649.82,0,775.78,17.9070000603978,74.022151330702,185.63486901728,178.345002842953
"Bogbank","SE",1,384983.856255221,666094.346337601,14037.45,0,0,13825.55,0,0,211.9,0,0,0,0,462.93,17.7399706007145,190.666543942364,32.4464624948796,236.80727895119
"Bogbank","SE",2,385061.967894973,666001.128542212,10220.97,0,0,9778.97,0,0,441.99,0,0,0,0,737.46,15.9734071716243,107.699916333933,22.5818324835158,240.356725478083
"Bogbank","SE",3,385127.560318541,665923.692204964,10066.07,0,0,9648.59,0,0,417.48,0,0,0,0,561.86,16.4050963047056,86.4107485305281,22.4182782066593,224.850051416163
"Bogbank","SE",4,385193.150001515,665847.570885692,10028.76,0,0,9582.32,0,0,446.45,0,0,0,0,511.59,17.2743664352748,75.3947805227222,25.248937279812,135.636126792521
"Bogbank","SE",5,385254.819217163,665765.868516977,10974.05,1187.45,0,8710.89,0,358.56,717.14,0,0,0,0,1273.75,7.1094535932997,19.5348555275643,24.4184170985708,42.8118909350018
"Bogbank","W",1,384938.138094898,666113.637434665,15400.06,0,0,15356.1,0,0,43.96,0,0,0,0,311.18,22.536381741775,215.535901354672,37.0993292923561,267.446037373749
"Bogbank","W",2,384841.08596242,666036.804038342,10533.64,0,0,10533.65,0,0,0,0,0,0,0,272.81,18.2110137005305,310.811901774358,25.5158433252426,362.619667922504
"Bogbank","W",3,384767.014135887,665964.007538726,10152.13,0,0,10152.13,0,0,0,0,0,0,0,272.12,22.3079725034156,392.750017311527,22.5433940953012,345.300017883853
"Bogbank","W",4,384666.262873265,665921.410528103,15786.72,0,0,15786.72,0,0,0,0,0,0,0,100.42,27.4642660418429,444.323234799257,97.6904591463666,300.198470397249
