"id","pBUILD","pTREE","pRDTRK","pROADS","pRGRAS","EDGED","D_LIN","D_BUI","D_WAT","D_TRE","PC1a","PC2a","PC3a","PC4a","AREA_M2"
"Mid Cambushinnie-E-3",0,0,0,0,0,0.0321587075120308,16.6819750694993,276.879025893183,129.355859737364,93.7592774871879,-0.612650081105362,-0.537485469492003,-0.156385013949434,-0.0333584342486982,13681.52
"Mid Cambushinnie-E-4",0,0,0,0,0,0.0259889624848866,21.191571868994,374.105449233345,70.4332761598974,223.293066637757,-1.26736274819669,-0.2322756750021,0.271489838492635,0.472176927526503,12381.41
"Mid Cambushinnie-E-5",0,0,0,0,0.100241951007155,0.0645819949140745,12.3812522127184,431.275678365708,18.0938015749514,325.436103374053,-0.657497375986195,-0.235054170903499,0.441168361368535,1.5815754058107,12312.41
"Mid Cambushinnie-NW-1",0,0,0,0,0,0.00959312067179897,38.1116105877411,303.489679724436,55.3983432594391,75.4775811005722,-1.51336621692294,-0.752737952608192,-0.025818843514704,-0.0287269116937685,13189.66
"Mid Cambushinnie-NW-2",0,0.401583867206581,0,0,0,0.0243747141619283,19.0747754609431,268.488412743661,69.0056589182338,15.1660037455897,-0.223393176788465,-2.57517575206912,0.268937781024945,-1.48518170929154,13491.03
"Mid Cambushinnie-NW-3",0,0.516993393431979,0,0,0,0.00991228556882969,23.2169430920394,178.276289990034,174.947101566668,11.7265001801408,-0.282342222319353,-2.60472420889052,0.12349580724881,-2.46926355484599,10273.11
"Mid Cambushinnie-NW-4",0,0.320978614810843,0,0,0.290963182035836,0.0180365080338868,15.286553391695,85.7780891645674,208.266710398092,13.6498075071283,-0.108286588669915,-2.26170040878907,-0.487529726223546,-0.799196312356554,12551.21
"Mid Cambushinnie-NW-5",0.0155262380571034,0.68895791359156,0.062928460611729,0.0559467295377067,0.043723705107318,0.0794002482945276,10.6625431027899,102.174754987263,129.014500003657,3.56294888714942,3.3186109950391,-2.7482662511438,1.03756188784743,-2.01816675904544,18518.33
"Mid Cambushinnie-S-1",0,0,0,0,0,0.0140606340768134,39.0514571297549,280.87994382877,48.448737243773,121.168757106336,-1.4601406345892,-0.555631589694792,-0.0918913628056963,0.0704508139221661,14537.04
"Mid Cambushinnie-S-2",0,0,0.0302929940274894,0,0,0.0589063456555192,14.7619007298983,262.506947331414,62.2796276923053,233.744142521338,0.190072138183832,0.0207128499544718,0.116862951161562,0.738890511820648,17331.07
"Mid Cambushinnie-S-3",0,0,0.00340146356430715,0,0.00373528896637911,0.0462094685262563,17.588024975557,402.960330744771,62.7969380182939,300.298690697409,-0.939554661632088,0.0456920015684297,0.41060353044518,0.8573871815025,15187.58
"Mid Cambushinnie-S-4",0,0,0,0,0.0235031856578668,0.10655074068399,11.1439419392656,496.948568435086,18.1665231226648,336.356420677138,0.0805766784905422,-0.0816754789579949,0.610407835442583,1.68056162111885,10115.65
"Mid Cambushinnie-SW-1",0,0,0,0,0,0.0101081147251562,36.7780676057311,299.542699819239,55.9720502404059,75.4354164755338,-1.46649748469238,-0.755692008843481,-0.0416473452343169,-0.0279109730510905,14132.21
"Mid Cambushinnie-SW-2",0,0.161197956931202,0,0,0,0.0150902897521813,48.5234064889637,230.032252329569,80.4477441574559,59.1599156716301,-1.2395054372876,-1.23207335583445,-0.106384942071377,-0.816102789982611,18691.49
"Mid Cambushinnie-SW-3",0,0,0,0,0,0.00243244026729611,68.4828162895398,87.6759003447196,142.542076960114,173.365070129861,-1.92661820866533,0.290071932716457,-0.715230269902282,-0.591257437208511,11383.63
"Mid Cambushinnie-SW-4",0.0150818346999424,0,0.0428117648808456,0.0556164524970322,0,0.0663032096138823,12.1186720558359,40.506058617884,111.873686003693,256.080099224116,1.78055991295329,0.911612937801084,-0.0626988161533419,0.492435400513846,11430.97
"Mid Cambushinnie-SW-5",0.0149934939012925,0,0,0,0,0.0355361146944285,21.140496727037,43.41051057338,152.749215724926,206.980904463043,-0.112857470800181,0.302260245789908,-1.26550820528378,-0.177496776368684,10689.97
"Mosshouses-E-1",0,0,0,0,0,0.010174723017303,36.7875540238002,209.771836287752,141.940260491422,114.934179770629,-1.33634966413952,-0.244439846875286,-0.334905694345375,-0.350608296494985,13464.74
"Mosshouses-E-2",0,0,0,0,0,0.00758985800820049,37.7434569091158,132.97997646201,124.95642237037,70.1206563955372,-1.13815160671088,-0.420689703616089,-0.633218603099197,-0.512969350947747,10218.9
"Mosshouses-E-3",0,0.289286030529943,0.0426595314635508,0.0175325800304144,0.0247080790775568,0.0722747309861595,12.2673887031019,77.6549849716652,41.5833098414461,15.9435388618465,1.97886971463826,-1.79974184533002,0.0374995018570403,-0.634558735366562,12987.25
"Mosshouses-E-4",0,0.377983960416747,0.0371218127070752,0.0317395341853338,0.0249996201480618,0.0553439805086798,11.0561912179919,149.989950716266,104.682769957874,15.4182980275917,1.63225075995826,-1.96156080543962,0.598286826318694,-1.16710725256822,11188.57
"Mosshouses-E-5",0,0.176220425899156,0.0407874026156738,0.0355649305952258,0.0256194780927166,0.0453876347045588,15.6542149107997,245.172738575417,209.91432754943,33.2927393786453,0.915532440588381,-0.796213085222039,0.833518095441356,-0.669696750226989,10590.77
"Mosshouses-N-1",0,0,0,0,0,0.0176168718549567,19.5117777688616,252.571812196754,95.9442825318741,79.8240444976945,-0.871066697234166,-0.673060614050416,-0.226741222265866,-0.0973866080283183,14039.95
"Mosshouses-N-2",0,0.282629919210886,0,0,0.521864355535753,0.0355084584733095,17.7577373528185,371.002456353401,28.5323060435338,17.1062111080368,-0.623576369452033,-3.31190337058446,0.426560987998184,1.31286747844927,10683.37
"Mosshouses-N-3",0,0.271507458649854,0,0,0.728493416624435,0.0102923503652957,26.9209606412015,458.684335913459,80.3022710637389,23.3763492968208,-1.68620913616149,-3.49876836067737,0.77483341955286,1.93074748021668,11424.99
"Mosshouses-N-4",0,0,0,0,1,0,37.7609581208564,506.429928729644,109.304786777496,44.3596405518859,-2.70895551305363,-2.77410713024541,0.633967326276574,3.85286294133405,1278.21
"Mosshouses-NE-1",0,0,0,0,0,0.0101687067399589,31.0672837881878,218.52345556348,135.320635725577,110.139109901353,-1.23314944700151,-0.327268201515156,-0.309305801636105,-0.304891430934475,13476.64
"Mosshouses-NE-2",0,0,0,0,0,0.0124297371564116,29.6420299845277,184.135574528255,141.392900532063,98.4878777982118,-1.05608824052872,-0.336780417681245,-0.444119067101022,-0.374881129850697,11972.9
